id,supervoxel_id,composite_cell_type,super_class,cell_type,side,cluster,colours
720575941474674986,76142074248072351,DNp32,descending,DNp32,right,DN_15,#5AB5DD
720575941561088045,76212442992558863,DNp27,descending,DNp27,right,DN_18,#57B2C1
720575941662395704,76212442992686915,DNd02,descending,DNd02,left,DN_12,#59A846
720575941632903621,75930968015558765,DNg100,descending,DNg100,left,DN_11,#4FAA6F
720575941393518742,76142074248089534,DNp32,descending,DNp32,left,DN_15,#5AB5DD
720575941486475917,76142074315169489,DNpe053,descending,DNpe053,right,NA,NA
720575941521093815,75014662244566844,DNg100,descending,DNg100,right,DN_11,#4FAA6F
720575941449699765,76353180480628309,DNd03,descending,DNd03,left,DN_16,#F39B38
720575941551811839,75788375369986196,DNp30,descending,DNp30,right,DN_14,#54B0A6
720575941579876085,76353180480635889,DNg74_a,descending,DNg74_a,right,DN_11,#4FAA6F
720575941614265875,76142074315067918,DNp103,descending,DNp103,right,DN_14,#54B0A6
720575941450655310,76071705570920124,DNpe053,descending,DNpe053,left,NA,NA
720575941507246405,76141180626620093,DNge149,descending,DNge149,right,DN_16,#F39B38
720575941441988815,76212442924872167,DNg98,descending,DNg98,right,DN_22,#D0B43E
720575941401814307,75930968015332293,DNge050,descending,DNge050,left,DN_11,#4FAA6F
720575941658928208,76001336759552753,DNg34,descending,DNg34,right,DN_11,#4FAA6F
720575941467705366,76071705571064966,DNp103,descending,DNp103,left,DN_14,#54B0A6
720575941459097503,75436600100484205,DNp01,descending,DNp01,right,DN_14,#54B0A6
720575941533464195,76282811736625832,DNb05,descending,DNb05,left,DN_18,#57B2C1
720575941459683398,76071705504161048,DNp27,descending,DNp27,left,DN_18,#57B2C1
720575941584468063,76071705436520967,DNg98,descending,DNg98,left,DN_22,#D0B43E
720575941441623899,76353180547587490,DNg75,descending,DNg75,right,DN_11,#4FAA6F
720575941401805859,76071705436547153,DNd02,descending,DNd02,right,DN_12,#59A846
720575941611304937,76140013335343390,DNc01,descending,DNc01,midline,DN_19,#658FC8
720575941551991295,76423549291662182,DNg16,descending,DNg16,left,DN_11,#4FAA6F
720575941563183016,76353180547650464,DNg74_b,descending,DNg74_b,right,DN_13,#764D99
720575941447863316,76001336759819912,DNb05,descending,DNb05,right,DN_18,#57B2C1
720575941614432409,76282811736605449,DNge047,descending,DNge047,left,DN_15,#5AB5DD
720575941552029183,75930968015500254,DNg74_a,descending,DNg74_a,left,DN_11,#4FAA6F
720575941688643340,76212442992756280,DNp10,descending,DNp10,right,DN_14,#54B0A6
720575941486576390,75930968082496232,DNg16,descending,DNg16,right,DN_11,#4FAA6F
720575941444018602,76353180547717441,DNg35,descending,DNg35,right,DN_08,#5FA5D8
720575941567461678,76071705504383689,DNp10,descending,DNp10,left,DN_14,#54B0A6
720575941435313294,76142074315307574,DNae009,descending,DNae009,left,DN_03,#EF6B33
720575941477713770,76001336759865368,DNge047,descending,DNge047,right,DN_15,#5AB5DD
720575941568410362,75930968015582750,DNg75,descending,DNg75,left,DN_11,#4FAA6F
720575941572471454,75930968015666527,DNg74_b,descending,DNg74_b,left,DN_13,#764D99
720575941644912760,76282811736508646,DNp42,descending,DNp42,left,DN_17,#7063A9
720575941519463278,76353180547433413,DNg108,descending,DNg108,right,DN_13,#764D99
720575941551998719,76001336759850554,DNp42,descending,DNp42,right,DN_17,#7063A9
720575941519464046,75930968015348134,DNg97,descending,DNg97,left,DN_11,#4FAA6F
720575941449384885,76070743431169887,DNge150,descending,DNge150,right,DN_19,#658FC8
720575941557353124,75930968015572829,DNd03,descending,DNd03,right,DN_16,#F39B38
720575941515652611,76353180480550103,DNg97,descending,DNg97,right,DN_11,#4FAA6F
720575941533459331,75930968082567117,DNc02,descending,DNc02,left,DN_19,#658FC8
