root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940627354562,['aIPg; named `putative aIP neuron 5162596 MD` in FAFB; aIP neurons from Janelia`s hemibrain dataset are described in this paper https://elifesciences.org/articles/58942'; 'aIPg4'],SIP.30,ACH,intrinsic,central,,,['CB2204'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,170,878
720575940623730634,['aIPg; named `putative aIP neuron 5145520 MD` in FAFB; aIP neurons from Janelia`s hemibrain dataset are described in this paper https://elifesciences.org/articles/58942'; 'aIPg4'],SIP.16,ACH,intrinsic,central,,,['CB1877'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,303,1059
720575940613518092,['pC1d_TopOutputs (Neuprint1.1 SMP555/SMP556) | pC1e_TopOutputs (Neuprint1.1 SMP555/SMP556) | aIPg-a(FW)/SMP555/556(HB)'; 'SMP556'],SIP.SMP.10,ACH,intrinsic,central,,,['SMP555'; 'SMP556'; 'aIPga'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,632,413
720575940630355537,['aIPg-a(FW)/SMP555/556(HB)'; 'aIPg-LIKE'],ICL.98,ACH,intrinsic,central,,,['CL261a'; 'CL261'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,645,340
720575940612938645,['aIPg; named `putative aIP neuron 5302373 MD` in FAFB; aIP neurons from Janelia`s hemibrain dataset are described in this paper https://elifesciences.org/articles/58942'; 'pC1d_TopOutputs (Neuprint1.1 aIPg1-3) | aIP-g-b(FW)'; 'aIPg1'],SIP.19,ACH,intrinsic,central,,,['CB1127'; 'aIPgb'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,303,924
720575940617574229,['aIPg; named `putative aIP neuron 5163276 MD` in FAFB; aIP neurons from Janelia`s hemibrain dataset are described in this paper https://elifesciences.org/articles/58942'; 'aIPg4'],SIP.24,ACH,intrinsic,central,,,['CB2204'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,264,931
720575940625855004,['aIPg; named `putative aIP neuron 5163301 MD` in FAFB; aIP neurons from Janelia`s hemibrain dataset are described in this paper https://elifesciences.org/articles/58942'],SIP.21,ACH,intrinsic,central,,,['CB2131'; 'aIPgb'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,388,692
720575940624780062,['aIPg; named `putative aIP neuron 5219464 MD` in FAFB; aIP neurons from Janelia`s hemibrain dataset are described in this paper https://elifesciences.org/articles/58942'; 'aIPg3'],AVLP.SMP.40,ACH,intrinsic,central,,,['CB3349'; 'aIPgb'],VLPl&p1_posterior,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,126,121
720575940611764066,['aIPg-LIKE; Was not in Kaiyu`s table. aIPg?'],SCL.SMP.35,ACH,intrinsic,central,,,['SMP569b'; 'SMP569'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,510,185
720575940614310050,['pC1d_TopOutputs (Neuprint1.1 SMP555/SMP556) | aIPg-a(FW)/SMP555/556(HB)'; 'SMP556'],SIP.SMP.13,ACH,intrinsic,central,,,['SMP555'; 'SMP556'; 'aIPga'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,624,467
