"type","partner","sum_LC10a","total_DN_outputs","DNa02","DNa03","DNb02","DNg13","DNa11","DNa01"
"AOTU019",10070,7076,26,293,235.5,80,0,66,29.5
"AOTU025",516361,3494,7,200.5,120,0,0,0,0
"AOTU012",531863,2148.5,7.5,191,0,0,0,0,0
"AOTU016_a",19686,1234.5,5.5,94.5,0,0,0,0,0
"AOTU005",10636,1140.5,12,62,24.5,0,0,0,0
"AOTU026",517465,1120.5,6,35.5,22,0,0,0,0
"AOTU016_c",518450,998.75,7.25,3.75,0,0,19.5,0,0
"AOTU027",12391,884,5,55,0,0,0,0,0
"LAL027",518127,871.5,10.5,64.5,22,0,0,0,0
"AOTU002_c",83676,821,4.5,3.75,0,0,16.5,0,0
"AOTU002_a",18112,735.25,3.16666666666667,9,0,0,3.33333333333333,0,0
"AOTU015",18388,704.125,7.25,69.7916666666667,5.04166666666667,0,0,0,0
"LAL028",99043,592.75,9.75,94.5,5.25,0,0,0,0
"AOTU001",103686,552.458333333333,4.08333333333333,60.1666666666667,0,0,0,0,0
"LAL029_e",515799,494,10,85.5,36,0,0,14,0
"LAL026_a",10962,483,10.5,72.5,24,0,23.5,0,0
